ProductRegNo,SLPID,TAC,RegType,SerialNo,productCategory,modelID,modelDescription,consigneeName
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,JFFV563,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,85N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,D5N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,B7N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,96N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,C5N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,H8N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,18N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,28N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,38N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,48N1663,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759999,CIDF15000022,REAB/98I/0418/S(18-1281),SerialNo,3GGBC73,NOTEBOOK (HYBRID-ICT),,"P75F [WLAN Module: QCNFA344A, QCNFA435, QCNFA335, 3165NGW, 7265NGW, 8265NGW, 9560NGW & 9462NGW ]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759999,CIDF15000022,REAB/98I/0418/S(18-1281),SerialNo,7BZCC73,NOTEBOOK (HYBRID-ICT),,"P75F [WLAN Module: QCNFA344A, QCNFA435, QCNFA335, 3165NGW, 7265NGW, 8265NGW, 9560NGW & 9462NGW ]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759999,CIDF15000022,REAB/98I/0418/S(18-1281),SerialNo,G3YBC73,NOTEBOOK (HYBRID-ICT),,"P75F [WLAN Module: QCNFA344A, QCNFA435, QCNFA335, 3165NGW, 7265NGW, 8265NGW, 9560NGW & 9462NGW ]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759999,CIDF15000022,REAB/98I/0418/S(18-1281),SerialNo,B4YBC73,NOTEBOOK (HYBRID-ICT),,"P75F [WLAN Module: QCNFA344A, QCNFA435, QCNFA335, 3165NGW, 7265NGW, 8265NGW, 9560NGW & 9462NGW ]",DELL GLOBAL BUSINESS CENTER SDN. BHD
