SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
CIDF16000069,2017-04-12T00:00:00,MK ELECTRIC (MALAYSIA) SENDIRIAN BERHAD,MK ELECTRIC (M) SDN BHD,2016-04-13T00:00:00
HIDF15000536,2016-10-29T00:00:00,GHL SYSTEMS BERHAD,EICON NETWORKS CORPORATION,2015-10-30T00:00:00
HIDF15000175,2022-07-12T00:00:00,DIGI TELECOMMUNICATIONS SDN. BHD.,DIGI TELECOMMUNICATIONS SDN BHD,2015-05-25T00:00:00
HIDF15000199,2022-04-19T00:00:00,ASYNC RESOURCES,PEGATRON-UNIHAN COOPERATION,2015-05-29T00:00:00
HIDF15000500,2017-12-29T00:00:00,SHIMBA SDN BHD,3-ELITE JOIN INDUSTRIAL PTE LTD,2015-10-01T00:00:00
CIDM17000045,2022-05-10T00:00:00,ARCHTRON R&D SDN BHD,ARCHTRON R&D SDN BHD,2017-03-22T00:00:00
HIDF15000269,2022-07-14T00:00:00,O'CONNOR'S ENGINEERING SDN. BHD.,"COMTECH SYSTEMS, INC.",2015-06-16T00:00:00
HIDF17000082,2022-05-16T00:00:00,FUJITSU (MALAYSIA) SDN BHD,CISCO SYSTEMS.INC,2017-05-03T00:00:00
HIDF15000112,2016-04-19T00:00:00,SELESTECH SDN. BHD.,SELESTECH,2015-04-20T00:00:00
HIDF15000370,2021-11-11T00:00:00,SIEMENS HEALTHCARE SDN. BHD.,"SIEMENS AG , MUNICH",2015-07-13T00:00:00
HIDF15000091,2021-10-27T00:00:00,PHILIPS MALAYSIA SDN. BHD.,PHILIPS MALAYSIA SDN. BHD.,2015-04-09T00:00:00
HIDF16000037,2021-12-08T00:00:00,MALAYSIAN INTELLIGENCE METERS SDN BHD,LANDIS & GYR,2016-02-17T00:00:00
HIDF15000583,2016-12-20T00:00:00,SOCIETE INTERNATIONALE DE TELECOMMUNICATIONS AERONAUTIQUES,ROHDE & SCHWARZ GMBH & CO,2015-12-21T00:00:00
HIDF20000176,2021-09-23T00:00:00,I-WAITER SOLUTIONS SDN. BHD.,PALMTEQ PTY LTD,2020-09-24T00:00:00
HIDF16000180,2020-02-19T00:00:00,TEGAS BROADCAST & MULTIMEDIA SDN BHD,SENNHEISER ELECTRONICS ASIA PTE LTD,2016-09-01T00:00:00
HIDF18000242,2021-02-20T00:00:00,MYPANTRADE (MALAYSIA) SDN BHD,SENNHEISER ELECTRONIC ASIA PTE LTD.,2018-10-30T00:00:00
HIDF15000205,2018-06-12T00:00:00,TELLABS (MALAYSIA) SDN. BHD.,TELLABS INC LTD,2015-06-03T00:00:00
HIDF17000179,2022-08-25T00:00:00,TELLABS (MALAYSIA) SDN. BHD.,TELLABS INC LTD,2017-08-25T00:00:00
HIDF15000351,2018-11-05T00:00:00,3D NETWORKS SDN. BHD.,NEC PHILIPS UNIFIED SOLUTIONS NEDERLAND B.V.,2015-07-03T00:00:00
HIDF15000094,2022-07-05T00:00:00,TELEPLEX SOLUTIONS SDN. BHD.,Z-COM INC.,2015-04-13T00:00:00
HIDF17000186,2020-10-21T00:00:00,FELIO ELECTRONICS (M) SDN BHD,FELIO ELECTRONIC (M) SDN BHD.,2017-09-11T00:00:00
HIDF19000053,2022-08-24T00:00:00,COMBA TECHNOLOGIES SDN.BHD.,COMBA TELECOM LTD,2019-03-28T00:00:00
HIDF19000192,2020-09-17T00:00:00,ADVENTURE MULTI DEVICES SDN. BHD.,MICRO-STAR INT'L CO. LTD.,2019-09-18T00:00:00
CIDF21000128,2022-07-28T00:00:00,SERVEX (MALAYSIA) SDN. BHD.,"OKI ELECTRIC INDUSTRY CO., LTD.",2021-07-29T00:00:00
CIDF21000128,2022-07-28T00:00:00,GOH OFFICE SUPPLIES (M) SDN BHD,"OKI ELECTRIC INDUSTRY CO., LTD.",2021-07-29T00:00:00
CIDF21000128,2022-07-28T00:00:00,E-TECH IT SDN BHD,"OKI ELECTRIC INDUSTRY CO., LTD.",2021-07-29T00:00:00
HIDF15000218,2022-06-02T00:00:00,ALCATEL-LUCENT MALAYSIA SDN. BHD.,ALCATEL ITALIA S.P.A.,2015-06-04T00:00:00
HIDF17000111,2018-06-04T00:00:00,SPACENETWORKS SDN BHD,SPACENET INC,2017-06-05T00:00:00
HIDF15000365,2022-01-13T00:00:00,NERA (MALAYSIA) SDN. BHD.,NERA TELECOMMUNICATIONS LTD,2015-07-09T00:00:00
HIDF15000269,2022-07-14T00:00:00,O'CONNOR'S ENGINEERING SDN. BHD.,REDLINE COMMUNICATION INC,2015-06-16T00:00:00
HIDF15000019,2022-08-15T00:00:00,GVS TECHNOLOGY SDN BHD,AVANTEC MANUFACTURING LIMITED.,2015-03-05T00:00:00
HIDF18000020,2022-03-10T00:00:00,I SPHERE SDN BHD,HM ELECTRONICS INC,2018-01-22T00:00:00
